,title,genres,overview,release_date,runtime,review,language,popularity,cast,crew,content to embed
0,Mike Birbiglia: The Old Man and the Pool,['Comedy'],"Comedian Mike Birbiglia dives headlong into mortality, medical tests, nature's pillows and an overchlorinated YMCA pool in this candid one-man show.",2023-11-21,77,0,en,2.103,['Mike Birbiglia'],"['John Johnson', 'Mike Birbiglia', 'Mike Birbiglia', 'Joe Birbiglia', 'John Skidmore', 'Tony Hernandez', 'Patrick Catullo', 'Seth Barrish', 'Sue Wagner']","Movie Genre: ['Comedy'] 
 Movie Overview: Comedian Mike Birbiglia dives headlong into mortality, medical tests, nature's pillows and an overchlorinated YMCA pool in this candid one-man show. 
 Movie Release Date: 2023-11-21 
 Movie Runtime: 77 
 Movie Review: 0.0 
 Movie Language: en 
 Movie Popularity: 2.103 
 Cast: ['Mike Birbiglia'] 
 Crew: ['John Johnson', 'Mike Birbiglia', 'Mike Birbiglia', 'Joe Birbiglia', 'John Skidmore', 'Tony Hernandez', 'Patrick Catullo', 'Seth Barrish', 'Sue Wagner']"
1,The Hourglass Sanatorium,"['Fantasy', 'Drama', 'Horror']","A young man named Josef visits a dilapidated Sanatorium to see his father Jakob.  On his arrival, a sinister doctor informs him that his father had stopped breathing but hasn't died yet, perhaps due to Josef's arrival which may have halted time in the sanatorium.  Josef undertakes a strange journey through the many rooms of the sanatorium, each which conjures worlds composed of his memories, dreams and nightmares.",1973-12-12,119,7.7,pl,8.714,"['Jan Nowicki', 'Tadeusz Kondrat', 'Irena Orska', 'Halina Kowalska', 'Gustaw Holoubek', 'Mieczysław Voit', 'Bożena Adamek', 'Ludwik Benoit', 'Henryk Boukołowski', 'Seweryn Dalecki', 'Julian Jabczyński', 'Jerzy Przybylski', 'Wiktor Sadecki', 'Janina Sokołowska', 'Tadeusz Schmidt', 'Szymon Szurmiej', 'Jan Szurmiej', 'Michał Szwejlich', 'Paweł Unrug', 'Filip Zylber', 'Marek Barbasiewicz', 'Jerzy Bekker', 'Jerzy Braszka', 'Zofia Bajuk', 'Emir Buczacki', 'Romuald Drobaczyński', 'Andrzej Herder', 'Jolanta Hanisz', 'J. Jablonski', 'Jerzy Janeczek', 'Marek Jasiński', 'Elżbieta Kijowska', 'Leszek Kowalewski', 'Mirosława Lombardo', 'Irena Malkiewicz', 'Bolesław Mierzejewski', 'Włodzimierz Nowak', 'Barbara Okonska-Kozlowska', 'Stanisław Olczyk', 'Józef Łodyński', 'Czesław Piaskowski', 'P. Podgórski', 'Edward Radulski', 'Barbara Rogalska', 'W. Rutecki', 'Wladyslaw Sitko', 'Waldemar Gawlik', 'Jolanta Jackowska', 'Alicja Kluba', 'Leopold Rene Nowak', 'Jerzy Trela', 'Stanisław Tylczyński', 'Wojciech Standełło', 'Stefania Staszewska', 'Gołda Tencer', 'Irena Izykowska']","['Wacław Dybowski', 'Witold Sobociński', 'Maciej Maria Putowski', 'Bruno Schulz', 'Janina Niedźwiecka', 'Wojciech Jerzy Has', 'Wojciech Jerzy Has', 'Jerzy Maksymiuk', 'Kazimierz Kutz', 'Andrzej Haliński', 'Anatol Stern', 'Waldemar Król', 'Jolanta Jackowska', 'Andrzej Płocki', 'Alicja Ptaszyńska', 'Janusz Rosół', 'Anna Iżykowska-Mironowicz', 'Halina Ber', 'Jerzy Skarżyński', 'Jerzy Skarżyński', 'Lidia Skarżyńska', 'Janusz Kalicinski', 'Jerzy Klimkiewicz', 'Piotr Dudzinski', 'Alicja Kozłowska', 'Zygmunt Nowak', 'Henryk Jacek Schoen', 'Halina Garus', 'Zygmunt Wójcik', 'Anna Śmiech', 'Alicja Kluba', 'Leopold Rene Nowak', 'Urszula Orczykowska', 'W. Pawlowski', 'Andrzej Reiter', 'Stefan Filipiak', 'Stanislaw Pysklak', 'Wlodzimierz Wisniewski', 'Wlodzimierz Czachowski', 'Jerzy Bialek', 'Jan Mogilnicki', 'Roman Mazanek', 'Barbara Krzyczmonik', 'Roman Pytel', 'Andrzej Zielonka']","Movie Genre: ['Fantasy', 'Drama', 'Horror'] 
 Movie Overview: A young man named Josef visits a dilapidated Sanatorium to see his father Jakob.  On his arrival, a sinister doctor informs him that his father had stopped breathing but hasn't died yet, perhaps due to Josef's arrival which may have halted time in the sanatorium.  Josef undertakes a strange journey through the many rooms of the sanatorium, each which conjures worlds composed of his memories, dreams and nightmares. 
 Movie Release Date: 1973-12-12 
 Movie Runtime: 119 
 Movie Review: 7.7 
 Movie Language: pl 
 Movie Popularity: 8.714 
 Cast: ['Jan Nowicki', 'Tadeusz Kondrat', 'Irena Orska', 'Halina Kowalska', 'Gustaw Holoubek', 'Mieczysław Voit', 'Bożena Adamek', 'Ludwik Benoit', 'Henryk Boukołowski', 'Seweryn Dalecki', 'Julian Jabczyński', 'Jerzy Przybylski', 'Wiktor Sadecki', 'Janina Sokołowska', 'Tadeusz Schmidt', 'Szymon Szurmiej', 'Jan Szurmiej', 'Michał Szwejlich', 'Paweł Unrug', 'Filip Zylber', 'Marek Barbasiewicz', 'Jerzy Bekker', 'Jerzy Braszka', 'Zofia Bajuk', 'Emir Buczacki', 'Romuald Drobaczyński', 'Andrzej Herder', 'Jolanta Hanisz', 'J. Jablonski', 'Jerzy Janeczek', 'Marek Jasiński', 'Elżbieta Kijowska', 'Leszek Kowalewski', 'Mirosława Lombardo', 'Irena Malkiewicz', 'Bolesław Mierzejewski', 'Włodzimierz Nowak', 'Barbara Okonska-Kozlowska', 'Stanisław Olczyk', 'Józef Łodyński', 'Czesław Piaskowski', 'P. Podgórski', 'Edward Radulski', 'Barbara Rogalska', 'W. Rutecki', 'Wladyslaw Sitko', 'Waldemar Gawlik', 'Jolanta Jackowska', 'Alicja Kluba', 'Leopold Rene Nowak', 'Jerzy Trela', 'Stanisław Tylczyński', 'Wojciech Standełło', 'Stefania Staszewska', 'Gołda Tencer', 'Irena Izykowska'] 
 Crew: ['Wacław Dybowski', 'Witold Sobociński', 'Maciej Maria Putowski', 'Bruno Schulz', 'Janina Niedźwiecka', 'Wojciech Jerzy Has', 'Wojciech Jerzy Has', 'Jerzy Maksymiuk', 'Kazimierz Kutz', 'Andrzej Haliński', 'Anatol Stern', 'Waldemar Król', 'Jolanta Jackowska', 'Andrzej Płocki', 'Alicja Ptaszyńska', 'Janusz Rosół', 'Anna Iżykowska-Mironowicz', 'Halina Ber', 'Jerzy Skarżyński', 'Jerzy Skarżyński', 'Lidia Skarżyńska', 'Janusz Kalicinski', 'Jerzy Klimkiewicz', 'Piotr Dudzinski', 'Alicja Kozłowska', 'Zygmunt Nowak', 'Henryk Jacek Schoen', 'Halina Garus', 'Zygmunt Wójcik', 'Anna Śmiech', 'Alicja Kluba', 'Leopold Rene Nowak', 'Urszula Orczykowska', 'W. Pawlowski', 'Andrzej Reiter', 'Stefan Filipiak', 'Stanislaw Pysklak', 'Wlodzimierz Wisniewski', 'Wlodzimierz Czachowski', 'Jerzy Bialek', 'Jan Mogilnicki', 'Roman Mazanek', 'Barbara Krzyczmonik', 'Roman Pytel', 'Andrzej Zielonka']"
2,The Conversation,[],"Stop-motion experimental short where two men communicate with one another, talk on the telephone, smoke cigarettes, and contort themselves. Produced 1987 and released in 1988 on the VHS compilation Fat of the Land, released via Factory Records video imprint IKON.  ""Here is the first tape of a new British cinema which should be seen by everyone who loves film. The official British cinema is truly dead, alive only in admens bought dreams. This is the way to go.""- Derek Jarman",1987-01-01,4,0,en,0.6,"['Richard Heslop', 'Timothy Burke']","['Richard Heslop', 'Timothy Burke']","Movie Genre: [] 
 Movie Overview: Stop-motion experimental short where two men communicate with one another, talk on the telephone, smoke cigarettes, and contort themselves. Produced 1987 and released in 1988 on the VHS compilation Fat of the Land, released via Factory Records video imprint IKON.  ""Here is the first tape of a new British cinema which should be seen by everyone who loves film. The official British cinema is truly dead, alive only in admens bought dreams. This is the way to go.""- Derek Jarman 
 Movie Release Date: 1987-01-01 
 Movie Runtime: 4 
 Movie Review: 0.0 
 Movie Language: en 
 Movie Popularity: 0.6 
 Cast: ['Richard Heslop', 'Timothy Burke'] 
 Crew: ['Richard Heslop', 'Timothy Burke']"
3,The 4th Man,"['Thriller', 'Mystery', 'Drama', 'Horror']",A man who has been having visions of an impending danger begins an affair with a woman who may lead him to his doom.,1983-03-23,102,6.7,nl,7.403,"['Jeroen Krabbé', 'Renée Soutendijk', 'Thom Hoffman', 'Dolf de Vries', 'Geert de Jong', 'Hans Veerman', 'Hero Muller', 'Caroline de Beus', 'Reinout Bussemaker', 'Erik J. Meijer', 'Ursul de Geer', 'Filip Bolluyt', 'Hedda Lornie', 'Paul Nygaard', 'Guus van der Made']","['Jan de Bont', 'Paul Verhoeven', 'Gerard Soeteman', 'Rob Houwer', 'Roland de Groot', 'Elly Claus', 'Kathy Kühne', 'Loek Dikker', 'Ine Schenkkan', 'Gerard Reve', 'Tom Tholen', 'Christopher Tucker', 'Ad Roest', 'Patrick de Loor', 'Meep Mulder']","Movie Genre: ['Thriller', 'Mystery', 'Drama', 'Horror'] 
 Movie Overview: A man who has been having visions of an impending danger begins an affair with a woman who may lead him to his doom. 
 Movie Release Date: 1983-03-23 
 Movie Runtime: 102 
 Movie Review: 6.7 
 Movie Language: nl 
 Movie Popularity: 7.403 
 Cast: ['Jeroen Krabbé', 'Renée Soutendijk', 'Thom Hoffman', 'Dolf de Vries', 'Geert de Jong', 'Hans Veerman', 'Hero Muller', 'Caroline de Beus', 'Reinout Bussemaker', 'Erik J. Meijer', 'Ursul de Geer', 'Filip Bolluyt', 'Hedda Lornie', 'Paul Nygaard', 'Guus van der Made'] 
 Crew: ['Jan de Bont', 'Paul Verhoeven', 'Gerard Soeteman', 'Rob Houwer', 'Roland de Groot', 'Elly Claus', 'Kathy Kühne', 'Loek Dikker', 'Ine Schenkkan', 'Gerard Reve', 'Tom Tholen', 'Christopher Tucker', 'Ad Roest', 'Patrick de Loor', 'Meep Mulder']"
4,Kinderseele,['Drama'],"A boy returns home from school, goes upstairs into his father's room where he steals sugared and dried figs out of his dad's chest of drawers. In spite of some remorse, he does not confess it to his father.",1977-07-02,40,0,de,0.605,"['Dieter Borsche', 'Gerd Böckmann']","['Hermann Hesse', 'Evelyn Wedekind', 'Guy Kubli', 'Martin Schmelzer']","Movie Genre: ['Drama'] 
 Movie Overview: A boy returns home from school, goes upstairs into his father's room where he steals sugared and dried figs out of his dad's chest of drawers. In spite of some remorse, he does not confess it to his father. 
 Movie Release Date: 1977-07-02 
 Movie Runtime: 40 
 Movie Review: 0.0 
 Movie Language: de 
 Movie Popularity: 0.605 
 Cast: ['Dieter Borsche', 'Gerd Böckmann'] 
 Crew: ['Hermann Hesse', 'Evelyn Wedekind', 'Guy Kubli', 'Martin Schmelzer']"
5,Two O'Clock Courage,"['Crime', 'Drama', 'Mystery', 'Comedy']","After nearly running over him with her cab, Patty Mitchell picks up a fare who claims to have amnesia. As he fumbles to remember the basic facts of his identity, Patty becomes interested in the stranger and decides to help him in his search. But as the pieces of the puzzle begin to fall into place, and Patty's interest becomes more personal, the stranger finds that he is the prime suspect in a murder case.",1945-04-13,68,6.2,en,3.384,"['Tom Conway', 'Ann Rutherford', 'Richard Lane', 'Lester Matthews', 'Roland Drew', 'Emory Parnell', 'Jane Greer', 'Jean Brooks', 'Chester Clute']","['Vernon L. Walker', 'Roy Webb', ""Albert S. D'Agostino"", 'Darrell Silvera', 'Bailey Fesler', 'William Stevens', 'Renié', 'Anthony Mann', 'Benjamin Stoloff', 'Robert E. Kent', 'Jack MacKenzie', 'Gordon Kahn', 'Lucius O. Croxton', 'Philip Martin', 'Gelett Burgess', 'Clem Beauchamp']","Movie Genre: ['Crime', 'Drama', 'Mystery', 'Comedy'] 
 Movie Overview: After nearly running over him with her cab, Patty Mitchell picks up a fare who claims to have amnesia. As he fumbles to remember the basic facts of his identity, Patty becomes interested in the stranger and decides to help him in his search. But as the pieces of the puzzle begin to fall into place, and Patty's interest becomes more personal, the stranger finds that he is the prime suspect in a murder case. 
 Movie Release Date: 1945-04-13 
 Movie Runtime: 68 
 Movie Review: 6.2 
 Movie Language: en 
 Movie Popularity: 3.384 
 Cast: ['Tom Conway', 'Ann Rutherford', 'Richard Lane', 'Lester Matthews', 'Roland Drew', 'Emory Parnell', 'Jane Greer', 'Jean Brooks', 'Chester Clute'] 
 Crew: ['Vernon L. Walker', 'Roy Webb', ""Albert S. D'Agostino"", 'Darrell Silvera', 'Bailey Fesler', 'William Stevens', 'Renié', 'Anthony Mann', 'Benjamin Stoloff', 'Robert E. Kent', 'Jack MacKenzie', 'Gordon Kahn', 'Lucius O. Croxton', 'Philip Martin', 'Gelett Burgess', 'Clem Beauchamp']"
6,Reflections of Evil,"['Comedy', 'Drama', 'Fantasy', 'Horror']","Julie, a teen who died from a PCP overdose in the early '70s, searches from beyond the grave for her younger brother Bob, who now in the '90s is an obese watch seller suffering with sucrose intolerance.",2002-03-22,138,6.6,en,3.83,"['Nicole Vanderhoff', 'Beverly Miller', 'Chad Nelson', 'Damon Packard', 'Dean Spunt', 'Lana Turner', 'Tony Curtis', 'Joey Heatherton', 'George Hamilton', 'Josue Clement', 'Tim Colceri', 'Elliott Joseph Brakeman', 'Greg Bajakian', 'Sage Stallone', 'Dick York']","['Damon Packard', 'Damon Packard', 'Damon Packard', 'Damon Packard']","Movie Genre: ['Comedy', 'Drama', 'Fantasy', 'Horror'] 
 Movie Overview: Julie, a teen who died from a PCP overdose in the early '70s, searches from beyond the grave for her younger brother Bob, who now in the '90s is an obese watch seller suffering with sucrose intolerance. 
 Movie Release Date: 2002-03-22 
 Movie Runtime: 138 
 Movie Review: 6.6 
 Movie Language: en 
 Movie Popularity: 3.83 
 Cast: ['Nicole Vanderhoff', 'Beverly Miller', 'Chad Nelson', 'Damon Packard', 'Dean Spunt', 'Lana Turner', 'Tony Curtis', 'Joey Heatherton', 'George Hamilton', 'Josue Clement', 'Tim Colceri', 'Elliott Joseph Brakeman', 'Greg Bajakian', 'Sage Stallone', 'Dick York'] 
 Crew: ['Damon Packard', 'Damon Packard', 'Damon Packard', 'Damon Packard']"
7,Monsieur Tête,['Animation'],"Monsieur Tête, an ordinary bureaucrat, rebels against the world and the ideas of the people around him. Because of his marginal behavior, his head is broken, like everyone else.",1959-01-01,13,6.154,fr,0.977,['Eugène Ionesco'],"['Jasmine Chasney', 'Henri Gruel', 'Henri Gruel', 'Philippe Arthuys', 'Henri Colpi', 'Eugène Ionesco', 'Jan Lenica', 'Jan Lenica', 'Antonio Harispe', 'Teresa Lenica', 'Equipe Arcady']","Movie Genre: ['Animation'] 
 Movie Overview: Monsieur Tête, an ordinary bureaucrat, rebels against the world and the ideas of the people around him. Because of his marginal behavior, his head is broken, like everyone else. 
 Movie Release Date: 1959-01-01 
 Movie Runtime: 13 
 Movie Review: 6.154 
 Movie Language: fr 
 Movie Popularity: 0.977 
 Cast: ['Eugène Ionesco'] 
 Crew: ['Jasmine Chasney', 'Henri Gruel', 'Henri Gruel', 'Philippe Arthuys', 'Henri Colpi', 'Eugène Ionesco', 'Jan Lenica', 'Jan Lenica', 'Antonio Harispe', 'Teresa Lenica', 'Equipe Arcady']"
8,Jenni,['Drama'],"Biopic based on the iconic Mexican-American singer-songwriter, actor, producer and women's rights activist, Jenni Rivera.",,0,0,en,1.507,"['Annie Gonzalez', 'Cinthya Carmona', 'J.R. Villarreal', 'Manuel Uriza', 'Miguel Angel Garcia', 'Jero Medina', 'Gabriela Reynoso', 'Ángel Soto Castelo']","['Donald De Line', 'Kate Lanier', 'Carl Thiel', 'Gigi Saul Guerrero', 'Shane McKenzie', 'Javier Chapa', 'Jorge Garcia Castro', 'Josh Stein', 'Kristopher Wynne', 'Annie Gonzalez', 'Phillip Braun', 'Simon Wise']","Movie Genre: ['Drama'] 
 Movie Overview: Biopic based on the iconic Mexican-American singer-songwriter, actor, producer and women's rights activist, Jenni Rivera. 
 Movie Release Date:  
 Movie Runtime: 0 
 Movie Review: 0.0 
 Movie Language: en 
 Movie Popularity: 1.507 
 Cast: ['Annie Gonzalez', 'Cinthya Carmona', 'J.R. Villarreal', 'Manuel Uriza', 'Miguel Angel Garcia', 'Jero Medina', 'Gabriela Reynoso', 'Ángel Soto Castelo'] 
 Crew: ['Donald De Line', 'Kate Lanier', 'Carl Thiel', 'Gigi Saul Guerrero', 'Shane McKenzie', 'Javier Chapa', 'Jorge Garcia Castro', 'Josh Stein', 'Kristopher Wynne', 'Annie Gonzalez', 'Phillip Braun', 'Simon Wise']"
9,Mom's Wet Mouth 3,[],Porn Movie.,2022-05-11,0,0,en,0,"['Angelina Diamanti', 'Nathan Bronson', 'Artemisia Love', 'Bella Rolland', 'Codey Steele', 'Christie Stevens', 'Alex Jett', 'Lexi Luna']",[],"Movie Genre: [] 
 Movie Overview: Porn Movie. 
 Movie Release Date: 2022-05-11 
 Movie Runtime: 0 
 Movie Review: 0.0 
 Movie Language: en 
 Movie Popularity: 0.0 
 Cast: ['Angelina Diamanti', 'Nathan Bronson', 'Artemisia Love', 'Bella Rolland', 'Codey Steele', 'Christie Stevens', 'Alex Jett', 'Lexi Luna'] 
 Crew: []"
